cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
Living Death,Duel Decks: Phyrexia vs. The Coalition,0,1,2.25,3.11,cardkingdom,tcgplayer,10,,%
"Anowon, the Ruin Sage",Worldwake,0,2,1.6,3.11,abugames,tcgplayer,16,,%
Opposition,Urza's Destiny,0,2,1.5,3.16,magicdotcards,tcgplayer,,,%
Tidespout Tyrant,Dissension,0,1,3.58,3.19,abugames,trollandtoad,16,3,%
Ward of Bones,Eventide,0,1,2.22,3.19,abugames,trollandtoad,20,1,%
"Wrexial, the Risen Deep",Worldwake,0,1,1.5,3.19,capefeargames,trollandtoad,8,1,%
Pattern of Rebirth,Urza's Destiny,0,3,1.6,3.2,abugames,tcgplayer,12,,%
Nut Collector,Odyssey,0,1,2,3.25,cardkingdom,tcgplayer,10,,%
Spelljack,Judgment,0,1,1.5,3.31,capefeargames,tcgplayer,7,,%
Elvish Champion,Eighth Edition,0,2,4,3.39,cardkingdom,abugames,13,0,%
"Teysa, Orzhov Scion",Guildpact,0,1,2.34,3.39,abugames,trollandtoad,16,2,%
Insurrection,Onslaught,0,1,3,3.49,capefeargames,trollandtoad,2,11,%
Visara the Dreadful,Onslaught,0,1,3,3.49,magicdotcards,trollandtoad,,8,%
Stifle,Scourge,0,1,4.7,3.49,cardkingdom,trollandtoad,18,3,%
Angel of Despair,Guildpact,0,1,2,3.5,magicdotcards,tcgplayer,,,%
Conspiracy,Mercadian Masques,0,3,1.5,3.59,cardkingdom,tcgplayer,15,,%
Blade of the Bloodchief,Zendikar,0,2,2.25,3.61,cardkingdom,tcgplayer,27,,%
Elvish Champion,Seventh Edition,0,1,4,3.74,cardkingdom,abugames,10,1,%
Soulfire Grand Master,Fate Reforged,0,3,2,3.89,magicdotcards,tcgplayer,,,%
Exotic Orchard,Planechase 2012 Edition,0,1,2,3.95,capefeargames,tcgplayer,5,,%
Rain of Gore,Dissension,0,1,3,3.99,magicdotcards,tcgplayer,,,%
Knight of the White Orchid,Duel Decks: Knights vs. Dragons,0,1,3.22,3.99,abugames,trollandtoad,20,9,%
Knight of the White Orchid,Shards of Alara,0,3,3.3,3.99,abugames,trollandtoad,16,11,%
Wrath of God,Fourth Edition,0,1,3.7,4.09,cardkingdom,trollandtoad,19,1,%
Parallel Evolution,Torment,0,1,2.07,4.1,abugames,tcgplayer,12,,%
Eldrazi Temple,Duel Decks: Zendikar vs. Eldrazi,0,1,1.1,4.11,cardkingdom,tcgplayer,20,,%
Sulfurous Springs,Ice Age,0,1,2.18,4.18,abugames,tcgplayer,12,,%
Guul Draz Assassin,Rise of the Eldrazi,0,1,3.7,4.19,cardkingdom,trollandtoad,20,1,%
"Sygg, River Cutthroat",Shadowmoor,0,1,4,4.19,magicdotcards,trollandtoad,,6,%
Nether Traitor,Time Spiral,0,1,3,4.19,magicdotcards,trollandtoad,,2,%
Hall of Gemstone,Mirage,0,4,2,4.39,magicdotcards,trollandtoad,,2,%
Harabaz Druid,Worldwake,0,3,3.22,4.39,abugames,trollandtoad,12,5,%
