Count,Tradelist Count,Name,Edition,My Price,Price
3,3,Battlefield Percher,Nemesis,0.21,$0.21
22,8,Battlefield Thaumaturge,Journey into Nyx,0.34,$0.36
1,1,Bay Falcon,Mirage,0.17,$0.15
1,1,Bayou,Unlimited Edition,275.15,$265.91
2,2,Bayou,Revised Edition,171.01,$176.19
1,1,Bayou,Revised Edition,171.01,$176.19
1,1,Bayou,Revised Edition,171.01,$176.19
49,8,Bearer of Silence,Oath of the Gatewatch,0.51,$0.57
8,8,Bearer of the Heavens,Journey into Nyx,0.38,$0.37
1,1,Beast Within,New Phyrexia,4.61,$4.57
29,8,Beastcaller Savant,Battle for Zendikar,0.45,$0.59
2,2,Beasts of Bogardan,Legends,0.34,$0.38
51,8,Beck // Call,Dragon's Maze,0,$0.62
3,3,Befoul,Urza's Saga,0.15,$0.14
23,8,Beguiler of Wills,Dark Ascension,0.95,$0.95
8,8,Behold the Beyond,Shadows over Innistrad,0.91,$1.13
5,5,Belbe's Armor,Nemesis,0.2,$0.21
10,8,Belbe's Percher,Nemesis,0.17,$0.14
2,2,Belbe's Portal,Nemesis,2.53,$2.63
4,4,Benalish Emissary,Invasion,0.24,$0.22
3,3,Benalish Heralds,Invasion,0.25,$0.20
1,1,Benalish Hero,Unlimited Edition,0.21,$0.25
10,8,Benalish Hero,Revised Edition,0.16,$0.14
2,2,Benalish Infantry,Weatherlight,0.16,$0.14
4,4,Benalish Lancer,Invasion,0.17,$0.14
2,2,Benalish Missionary,Weatherlight,0.16,$0.14
4,4,Benalish Trapper,Invasion,0.16,$0.14
1,1,Bend or Break,Invasion,0.34,$0.31
4,4,Bequeathal,Exodus,0.21,$0.19
29,8,Berserkers' Onslaught,Dragons of Tarkir,0.37,$0.36
3,3,Betrayal,Visions,0.18,$0.17
2,2,Betrothed of Fire,Weatherlight,0.17,$0.14
61,8,Bident of Thassa,Theros,0.3,$0.30
1,1,Bind,Invasion,0.76,$0.72
39,8,Biomass Mutation,Gatecrash,0.26,$0.24
26,8,Biovisionary,Gatecrash,0.4,$0.39
1,1,Bird Maiden,Fourth Edition,0.14,$0.15
1,1,Birds of Paradise,Fourth Edition,8.08,$7.87
3,3,Birds of Paradise,Magic 2012,7.95,$7.90
2,2,Birthing Pod,New Phyrexia,6.04,$6.16
1,1,Black Knight,Revised Edition,0.28,$0.27
1,1,Black Knight,Revised Edition,0.28,$0.27
2,2,Black Mana Battery,Legends,0.84,$0.88
9,8,Black Sun's Zenith,Mirrodin Besieged,1.76,$1.97
1,1,Black Vise,Unlimited Edition,7.47,$7.84
2,2,Black Vise,Revised Edition,1.45,$1.30
2,2,Black Ward,Revised Edition,0.19,$0.17
22,8,Blade Splicer,New Phyrexia,2.23,$2.30
1,1,Blanchwood Armor,Urza's Saga,0.44,$0.39
1,1,Blanchwood Treefolk,Urza's Saga,0.16,$0.14
23,8,Blasphemous Act,Innistrad,2.7,$2.62
1,1,Blasted Landscape,Urza's Saga,0.96,$0.96
4,4,Blaster Mage,Mercadian Masques,0.17,$0.14
6,6,Blastoderm,Nemesis,0.19,$0.19
3,3,Blazing Effigy,Legends,0.19,$0.20
1,1,Blazing Specter,Invasion,0.68,$0.70
29,8,Blessed Reincarnation,Dragons of Tarkir,0.36,$0.30
1,1,Blessed Wind,Prophecy,0.34,$0.36
2,2,Blessed Wine,Ice Age,0.15,$0.13
2,2,Blight,Legends,1.43,$1.69
55,8,Blight Herder,Battle for Zendikar,0.44,$0.50
4,4,Blighted Agent,New Phyrexia,0.89,$0.87
1,1,Blighted Shaman,Mirage,0.19,$0.17
25,8,Blind Obedience,Gatecrash,1.96,$2.12
1,1,Blind Seer,Invasion,0.34,$0.34
1,1,Blinding Angel,Nemesis,1.95,$1.87
1,1,Blinding Light,Invasion,0.21,$0.21
2,2,Blistering Barrier,Mirage,0.16,$0.14
1,1,Bloated Toad,Urza's Legacy,0.23,$0.22
4,4,Blockade Runner,Mercadian Masques,0.17,$0.14
